"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport"
85096,"Chatham_NDB_CA","4L","Chatham","NDB",236,42.31230163574219,-82.07769775390625,650,"CA",,,,,,,-7.553,"LO","LOW","CYCK"
85097,"Red_Sucker_Lake_NDB_CA","4M","Red Sucker Lake","NDB",399,54.16889953613281,-93.56320190429688,729,"CA",,,,,,,-0.269,"LO","LOW","CYRS"
85098,"Oxford_House_NDB_CA","4N","Oxford House","NDB",386,54.9286003112793,-95.28250122070312,688,"CA",,,,,,,1.201,"LO","MEDIUM","CYOH"
85099,"Swan_Hills_NDB_CA","4O","Swan Hills","NDB",251,54.67499923706055,-115.42400360107422,3473,"CA",,,,,,,18.062,"LO","MEDIUM","CEM5"
85100,"Brochet_NDB_CA","4Q","Brochet","NDB",347,57.88610076904297,-101.677001953125,1136,"CA",,,,,,,8.181,"LO","MEDIUM","CYBT"
85101,"Shamattawa_NDB_CA","4T","Shamattawa","NDB",280,55.85929870605469,-92.08599853515625,289,"CA",,,,,,,-2.53,"LO","LOW","CZTM"
85102,"Lac_Brochet_NDB_CA","4V","Lac Brochet","NDB",371,58.61830139160156,-101.47000122070312,1257,"CA",,,,,,,7.594,"LO","LOW","CZWH"
85103,"Kelsey_NDB_CA","4W","Kelsey","NDB",391,56.037498474121094,-96.51280212402344,600,"CA",,,,,,,2.303,"LO","LOW","CZEE"
85104,"Lac_Du_Bonnet_NDB_CA","4X","Lac Du Bonnet","NDB",386,50.29029846191406,-96.01419830322266,850,"CA",,,,,,,3.03,"LO","MEDIUM","CYAX"
85105,"Key_Lake_NDB_CA","4Y","Key Lake","NDB",376,57.25419998168945,-105.62200164794922,1670,"CA",,,,,,,12.181,"LO","MEDIUM","CYKJ"
85106,"Summerside_NDB_CA","5B","Summerside","NDB",254,46.39690017700195,-63.88169860839844,,"CA",,,,,,,-19.313,"LO","MEDIUM","CYSU"
85107,"Fox_Creek_NDB-DME_CA","5F","Fox Creek","NDB-DME",353,54.379398345947266,-116.76000213623047,2841,"CA",110000,"037X",,,,,18.332,"LO","LOW","CED4"
85108,"Coronation_NDB_CA","5J","Coronation","NDB",328,52.07440185546875,-111.447998046875,2595,"CA",,,,,,,15.158,"LO","HIGH","CYCT"
85109,"Donaldson_NDB_CA","5L","Donaldson","NDB",233,61.66469955444336,-73.29190063476562,1888,"CA",,,,,,,-27.485,"BOTH","MEDIUM","CTP9"
85110,"Sparwood_NDB_CA","5M","Sparwood","NDB",200,49.837200164799995,-114.884002686,3800,"CA",,,,,,,16.131,"LO","MEDIUM","CYSW"
85111,"Gods_River_NDB_CA","5O","Gods River","NDB",350,54.84189987182617,-94.06909942626953,676,"CA",,,,,,,-0.043,"LO","LOW","CJT3"
85112,"Fontanges_NDB_CA","5Q","Fontanges","NDB",239,54.560001373291016,-71.17109680175781,1552,"CA",,,,,,,-21.458,"LO","LOW","CTU2"
85113,"Fort_Vermilion_NDB-DME_CA","5U","Fort Vermilion","NDB-DME",261,58.40250015258789,-115.95099639892578,836,"CA",108800,"025X",58.4033,-115.946,836,,19.554,"LO","LOW","CEZ4"
85114,"Drumheller_NDB-DME_CA","5V","Drumheller","NDB-DME",395,51.502498626708984,-112.7509994506836,2625,"CA",110000,"037X",51.5017,-112.751,2625,,15.463,"LO","MEDIUM","CEG4"
85115,"Leaf_Rapids_NDB_CA","5W","Leaf Rapids","NDB",226,56.51169967651367,-99.98390197753906,959,"CA",,,,,,,6.283,"LO","MEDIUM","CYLR"
85116,"Trenton_NDB_CA","5Y","Trenton","NDB",361,45.61180114746094,-62.625099182128906,317,"CA",,,,,,,-19.265,"LO","LOW","CYTN"
85117,"Grand_Manan_NDB_CA","6E","Grand Manan","NDB",387,44.715599060058594,-66.80220031738281,238,"CA",,,,,,,-18.017,"LO","MEDIUM","CCN2"
85118,"Port_Hope_Simpson_NDB_CA","6F","Port Hope Simpson","NDB",367,52.520301818847656,-56.29520034790039,347,"CA",,,,,,,-23.08,"LO","LOW","CCP4"
85119,"Red_Deer_DME_CA","6G","Red Deer","DME",111600,52.18119812011719,-113.88300323486328,2985,"CA",111600,"053X",,,,,16.313,"LO","LOW","CYQF"
85120,"Vernon_Bc_NDB_CA","6K","Vernon Bc","NDB",302,50.349998474121094,-119.26000213623047,,"CA",,,,,,,17.537,"LO","LOW","CYVK"
85121,"Belleville_NDB_CA","6M","Belleville","NDB",283,44.19499969482422,-77.30829620361328,320,"CA",,,,,,,-12.149,"LO","LOW","CNU4"
85122,"Cigar_Lake_NDB_CA","6Q","Cigar Lake","NDB",222,58.069698333740234,-104.53900146484375,,"CA",,,,,,,11.223,"LO","MEDIUM","CJW7"
85123,"York_Landing_NDB_CA","6X","York Landing","NDB",339,56.08829879760742,-96.0969009399414,609,"CA",,,,,,,1.594,"LO","MEDIUM","CZAC"
85124,"La_Loche_NDB_CA","6Z","La Loche","NDB",410,56.47829818725586,-109.4010009765625,1500,"CA",,,,,,,15.139,"LO","MEDIUM","CJL4"
85125,"St_Thomas_NDB_CA","7B","St Thomas","NDB",375,42.77090072631836,-81.10569763183594,776,"CA",,,,,,,-8.511,"LO","HIGH","CYQS"
85126,"Fogo_NDB_CA","7C","Fogo","NDB",237,49.661598205566406,-54.24509811401367,97,"CA",,,,,,,-21.274,"LO","MEDIUM","CDY3"
85127,"Hudson_Bay_NDB_CA","7D","Hudson Bay","NDB",337,52.847801208496094,-102.18699645996094,,"CA",,,,,,,8.448,"LO","LOW","CYHB"
85128,"Collins_Bay_NDB_CA","7F","Collins Bay","NDB",400,58.22829818725586,-103.68299865722656,1340,"CA",,,,,,,10.302,"LO","MEDIUM","CYKC"
85129,"Marystown_NDB_CA","7H","Marystown","NDB",234,47.138301849365234,-55.32500076293945,96,"CA",,,,,,,-20.262,"LO","MEDIUM","CCC2"
85130,"Forestburg_NDB_CA","7J","Forestburg","NDB",261,52.57640075683594,-112.08599853515625,2352,"CA",,,,,,,15.451,"LO","LOW","CEF6"
85131,"La_Sarre_NDB_CA","7L","La Sarre","NDB",405,48.91059875488281,-79.17890167236328,1048,"CA",,,,,,,-12.521,"LO","LOW","CSR8"
85132,"Iroquois_Falls_NDB_CA","7P","Iroquois Falls","NDB",382,48.70840072631836,-80.73590087890625,,"CA",,,,,,,-11.281,"LO","LOW","CNE4"
85133,"Jasper-Hinton_NDB_CA","7V","Jasper-Hinton","NDB",233,53.32109832763672,-117.75499725341797,4026,"CA",,,,,,,18.307,"LO","LOW","CEC4"
85134,"Carlyle_NDB_CA","8A","Carlyle","NDB",310,49.645599365234375,-102.28099822998047,2074,"CA",,,,,,,8.406,"LO","MEDIUM","CJQ3"
85135,"Fairview_NDB-DME_CA","8C","Fairview","NDB-DME",295,56.075599670410156,-118.44100189208984,2190,"CA",111400,"051X",,,,,19.542,"LO","MEDIUM","CEB5"
85136,"Debert_NDB_CA","8F","Debert","NDB",239,45.422000885009766,-63.459598541259766,142,"CA",,,,,,,-19.124,"LO","LOW","CCQ3"
85137,"Stettler_NDB-DME_CA","8G","Stettler","NDB-DME",286,52.30830001831055,-112.75399780273438,2700,"CA",108400,"021X",52.3086,-112.754,2700,,16.01,"LO","LOW","CEJ3"
85138,"St_Paul_NDB_CA","8H","St Paul","NDB",375,53.99190139770508,-111.39099884033203,2147,"CA",,,,,,,15.474,"LO","MEDIUM","CEW3"
85139,"Provost_NDB_CA","8J","Provost","NDB",208,52.332801818847656,-110.27300262451172,2216,"CA",,,,,,,14.4,"LO","LOW","CEH6"
85140,"Provost_DME_CA","8J","Provost","DME",109000,52.33359909057617,-110.27300262451172,2216,"CA",109000,"027X",,,,,14.401,"LO","LOW","CEH6"
85141,"Valleyview_NDB_CA","8K","Valleyview","NDB",229,55.034400939941406,-117.28900146484375,2450,"CA",,,,,,,19.016,"LO","LOW","CEL5"
85142,"Elk_Point_NDB-DME_CA","8M","Elk Point","NDB-DME",414,53.89030075073242,-110.76799774169922,1999,"CA",111400,"051X",,,,,15.234,"LO","LOW","CEJ6"
85143,"Edson_NDB-DME_CA","8N","Edson","NDB-DME",393,53.5807991027832,-116.45500183105469,3066,"CA",109400,"031X",53.58,-116.453,3066,,18.074,"LO","LOW","CYET"
85144,"Hanna_NDB_CA","9A","Hanna","NDB",221,51.62779998779297,-111.9010009765625,2738,"CA",,,,,,,15.227,"LO","LOW","CEL4"
85145,"Sundre_NDB_CA","9G","Sundre","NDB",405,51.779998779296875,-114.68299865722656,3656,"CA",,,,,,,16.449,"LO","MEDIUM","CFN7"
85146,"La_Grande_3_NDB_CA","9H","La Grande 3","NDB",235,53.57379913330078,-76.20079803466797,774,"CA",,,,,,,-17.585,"LO","MEDIUM","CYAD"
85147,"Amos_NDB_CA","9Q","Amos","NDB",291,48.55759811401367,-78.24310302734375,1068,"CA",,,,,,,-13.262,"LO","LOW","CYEY"
85148,"Powell_River_Bc_DME_CA","9S","Powell River Bc","DME",109300,49.835601806640625,-124.4990005493164,425,"CA",109300,"030X",,,,,18.516,"BOTH","LOW","CYPW"
85149,"Brooks_NDB-DME_CA","9X","Brooks","NDB-DME",227,50.632198333740234,-111.9219970703125,2499,"CA",109800,"035X",,,,,15.068,"LO","LOW","CYBP"
85150,"Pincher_Creek_NDB_CA","9Y","Pincher Creek","NDB",311,49.52330017089844,-113.9990005493164,,"CA",,,,,,,15.458,"BOTH","LOW","CZPC"
85151,"Westlock_NDB-DME_CA","9Z","Westlock","NDB-DME",236,54.14310073852539,-113.74800109863281,2230,"CA",108800,"025X",54.1431,-113.749,2230,,17.069,"LO","LOW","CES4"
85152,"Baku_Bina_NDB_AZ","A","Baku/Bina","NDB",113,40.44499969482422,50.06330108642578,19,"AZ",,,,,,,5.26,"TERMINAL","LOW",
85154,"Ministro_Pistarini_NDB_AR","A","Ministro Pistarini","NDB",237,-34.84159851074219,-58.52239990234375,66,"AR",,,,,,,-6.499,"TERMINAL","LOW",
85155,"Reconquista_NDB_AR","A","Reconquista","NDB",242,-29.211000442504883,-59.70759963989258,,"AR",,,,,,,-8.35,"TERMINAL","LOW",
85156,"Tartagal_NDB_AR","A","Tartagal","NDB",415,-22.635900497436523,-63.79570007324219,1473,"AR",,,,,,,-7.328,"TERMINAL","LOW",
85157,"Habana_NDB_CU","A","Habana","NDB",339,22.973800659179688,-82.43219757080078,233,"CU",,,,,,,-3.315,"TERMINAL","MEDIUM",
85158,"Almaza_NDB_EG","A","Almaza","NDB",490,30.073999404907227,31.359399795532227,,"EG",,,,,,,3.203,"TERMINAL","MEDIUM","HEAZ"
85159,"Budapest_NDB_HU","A","Budapest","NDB",343,47.45500183105469,19.210500717163086,,"HU",,,,,,,3.234,"TERMINAL","LOW",
85160,"Opera_NDB_HU","A","Opera","NDB",422,47.1067008972168,20.226699829101562,322,"HU",,,,,,,3.342,"TERMINAL","LOW","LHSN"
85161,"Almaty_NDB_KZ","A","Almaty","NDB",763,43.36859893798828,77.07389831542969,,"KZ",,,,,,,4.452,"BOTH","MEDIUM",
85162,"Baneasa_East_NDB_RO","A","Baneasa East","NDB",434,44.51029968261719,26.136899948120117,,"RO",,,,,,,4.204,"BOTH","HIGH",
85163,"Sheremetyevo_NDB_RU","A","Sheremetyevo","NDB",338,55.97999954223633,37.461700439453125,,"RU",,,,,,,9.43,"TERMINAL","LOW","UUEE"
85164,"Kharkiv_NDB_UA","A","Kharkiv","NDB",678,49.92430114746094,36.319698333740234,,"UA",,,,,,,7.162,"BOTH","HIGH","UKHH"
85165,"Zaporizhzhia_NDB_UA","A","Zaporizhzhia","NDB",608,47.84700012207031,35.302799224853516,,"UA",,,,,,,6.296,"TERMINAL","LOW",
85166,"Taltheilei_Narrows_NDB_CA","A1","Taltheilei Narrows","NDB",264,62.59469985961914,-111.51899719238281,570,"CA",,,,,,,19.032,"LO","MEDIUM","CFA7"
85167,"Chinchaga_NDB_CA","A5","Chinchaga","NDB",317,57.54499816894531,-119.11100006103516,2280,"CA",,,,,,,20.491,"LO","LOW","CED2"
85168,"Liverpool_NDB_CA","A9","Liverpool","NDB",330,44.22700119018555,-64.8584976196289,314,"CA",,,,,,,-18.25,"LO","LOW","CYAU"
85169,"Auckland_VOR-DME_NZ","AA","Auckland","VOR-DME",114800,-37.004600524902344,174.81399536132812,13,"NZ",114800,"095X",,,,19.011,19.282,"BOTH","HIGH","NZAA"
85170,"Anaa_NDB_PF","AA","Anaa","NDB",333,-17.355600357055664,-145.48199462890625,,"PF",,,,,,,12.445,"TERMINAL","MEDIUM","NTGA"
85171,"Accra_NDB_GH","AA","Accra","NDB",409,5.6761698722839355,-0.13803300261497498,,"GH",,,,,,,-4.416,"TERMINAL","MEDIUM","DGAA"
85172,"Aasiaat_NDB_GL","AA","Aasiaat","NDB",336,68.72319793701172,-52.7848014831543,,"GL",,,,,,,-36.533,"LO","LOW","BGAA"
85173,"Atambua_NDB_ID","AA","Atambua","NDB",300,-9.074440002441406,124.90499877929688,1434,"ID",,,,,,,2.218,"BOTH","MEDIUM",
85174,"Aliabad_NDB_IR","AA","Aliabad","NDB",397,35.63370132446289,51.41780090332031,3603,"IR",,,,,,,4.015,"BOTH","LOW",
85175,"Abemama_NDB_KI","AA","Abemama","NDB",396,0.5,173.85000610351562,108,"KI",,,,,,,9.26,"BOTH","LOW","NGTB"
85176,"Aioun_El_Atrouss_NDB_MR","AA","Aioun El Atrouss","NDB",310,16.692100524902344,-9.600379943847656,,"MR",,,,,,,-5.157,"BOTH","LOW","GQNA"
85177,"Madrid_NDB_ES","AA","Madrid","NDB",355,40.44820022583008,-3.5388100147247314,,"ES",,,,,,,-2.13,"TERMINAL","LOW",
85178,"Kenie_NDB_US","AA","Kenie","NDB",365,47.009300231933594,-96.81520080566406,887,"US",,,,,,,4.089,"TERMINAL","MEDIUM","KFAR"
85179,"Cedar_NDB_US","AA","Cedar","NDB",341,33.53300094604492,-82.6144027709961,517,"US",,,,,,,-5.217,"TERMINAL","LOW",
85180,"Abraham_NDB_US","AAA","Abraham","NDB",329,40.160099029541016,-89.33779907226562,593,"US",,,,,,,-1.206,"TERMINAL","LOW",
85181,"Ahmedabad_VOR-DME_IN","AAE","Ahmedabad","VOR-DME",113100,23.072200775146484,72.625,184,"IN",113100,"078X",,,,0.011,-0.099,"BOTH","HIGH","VAAH"
85182,"Apalachicola_NDB_US","AAF","Apalachicola","NDB",349,29.72330093383789,-85.0280990600586,19,"US",,,,,,,-2.557,"TERMINAL","LOW",
85183,"Aalborg_TACAN_DK","AAL","Aalborg","TACAN",116700,57.10390090942383,9.992810249328613,57,"DK",116700,"114X",,,,1.008,0.598,"BOTH","HIGH","EKYT"
85184,"Aalborg_VOR-DME_DK","AAL","Aalborg","VOR-DME",116700,57.10369873046875,9.995579719543457,57,"DK",116700,"114X",57.1039,9.99281,57,1.008,0.589,"RNAV","HIGH","EKYT"
85185,"Araraquara_NDB_BR","AAQ","Araraquara","NDB",205,-21.812999725341797,-48.13949966430664,2514,"BR",,,,,,,-19.255,"BOTH","MEDIUM","SBAQ"
85186,"Arar_VORTAC_SA","AAR","Arar","VORTAC",113300,30.908000946044922,41.1422004699707,1811,"SA",113300,"080X",,,,2.007,3.355,"BOTH","HIGH","OERR"
85187,"Amritsar_VOR-DME_IN","AAR","Amritsar","VOR-DME",115500,31.706899642944336,74.80079650878906,752,"IN",115500,"102X",,,,2.011,1.28,"BOTH","HIGH","VIAR"
85188,"Agartala_VOR-DME_IN","AAT","Agartala","VOR-DME",116100,23.88960075378418,91.23970031738281,47,"IN",116100,"108X",,,,0.011,-0.302,"BOTH","HIGH","VEAT"
85189,"Aurangabad_VOR-DME_IN","AAU","Aurangabad","VOR-DME",116300,19.864700317382812,75.39409637451172,1908,"IN",116300,"110X",,,,-1.011,-0.464,"BOTH","HIGH","VAAU"
85190,"Ashland_NDB_US","AAU","Ashland","NDB",329,40.96329879760742,-82.25340270996094,1256,"US",,,,,,,-7.232,"TERMINAL","LOW",
85191,"Addis_Abeba_NDB_ET","AB","Addis Abeba","NDB",333,8.997369766235352,38.8202018737793,,"ET",,,,,,,1.393,"BOTH","MEDIUM","HAAB"
85192,"Akraberg_NDB_FO","AB","Akraberg","NDB",381,61.395301818847656,-6.68110990524292,,"FO",,,,,,,-7.299,"BOTH","HIGH",
85193,"Atbasar_NDB_KZ","AB","Atbasar","NDB",420,51.88330078125,68.4000015258789,,"KZ",,,,,,,10.155,"BOTH","MEDIUM",
85194,"Podkamennaya_Tunguska_NDB_RU","AB","Podkamennaya Tunguska","NDB",342,61.59170150756836,89.94170379638672,,"RU",,,,,,,9.088,"TERMINAL","HIGH",
85195,"Abakan_NDB_RU","AB","Abakan","NDB",360,53.698299407958984,91.3499984741211,,"RU",,,,,,,4.193,"TERMINAL","HIGH","UNAA"
85196,"Abqaiq_NDB_SA","AB","Abqaiq","NDB",290,25.899999618530273,49.58330154418945,229,"SA",,,,,,,2.157,"BOTH","LOW","OEBQ"
85197,"Alexander_Bay_NDB_ZA","AB","Alexander Bay","NDB",318,-28.618900299072266,16.479999542236328,,"ZA",,,,,,,-19.212,"BOTH","MEDIUM","FAAB"
85198,"Putny_NDB_US","AB","Putny","NDB",227,31.456100463867188,-84.27619934082031,,"US",,,,,,,-3.456,"TERMINAL","LOW","KABY"
85199,"Tomhi_NDB_US","AB","Tomhi","NDB",353,32.29890060424805,-99.67420196533203,1950,"US",,,,,,,6.183,"TERMINAL","LOW","KABI"
85200,"Reney_NDB_US","AB","Reney","NDB",203,45.38600158691406,-98.32839965820312,,"US",,,,,,,5.298,"TERMINAL","LOW","KABR"
85201,"Leehi_NDB_US","AB","Leehi","NDB",400,40.58580017089844,-75.54959869384766,,"US",,,,,,,-12.112,"TERMINAL","LOW","KABE"
85202,"Aruba_VOR-DME_AW","ABA","Aruba","VOR-DME",112500,12.50979995727539,-69.9406967163086,59,"AW",112500,"072X",,,,-4.001,-9.37,"BOTH","HIGH","TNCA"
85203,"Albany_NDB-DME_AU","ABA","Albany","NDB-DME",240,-34.95220184326172,117.81099700927734,243,"AU",109700,"034X",,,,,-2.034,"BOTH","MEDIUM","YABA"
85204,"Nabb_VORTAC_US","ABB","Nabb","VORTAC",112400,38.58879852294922,-85.63600158691406,710,"US",112400,"071X",,,,1.001,-4.045,"LO","MEDIUM",
85205,"Abbeville_VOR-DME_FR","ABB","Abbeville","VOR-DME",108450,50.135101318359375,1.8546899557113647,223,"FR",108450,"021Y",,,,-3.007,-1.232,"BOTH","HIGH","LFOI"
85206,"Abuja_VOR-DME_NG","ABC","Abuja","VOR-DME",116300,9.037799835205078,7.285099983215332,1240,"NG",116300,"110X",,,,,-2.022,"BOTH","MEDIUM","DNAA"
85207,"Abadan_VOR-DME_IR","ABD","Abadan","VOR-DME",114500,30.386999130249023,48.21760177612305,10,"IR",114500,"092X",,,,3.001,3.069,"BOTH","HIGH","OIAA"
85208,"Abyad_NDB_SY","ABD","Abyad","NDB",264,33.33530044555664,36.428199768066406,,"SY",,,,,,,3.53,"BOTH","HIGH","OSDI"
85209,"Ambassador_NDB_US","ABG","Ambassador","NDB",404,32.58539962768555,-95.11299896240234,420,"US",,,,,,,3.377,"TERMINAL","LOW","1TX9"
85210,"Abha_VORTAC_SA","ABH","Abha","VORTAC",112900,18.241899490356445,42.656898498535156,6862,"SA",112900,"076X",,,,1.007,2.111,"BOTH","HIGH","OEAB"
85211,"Abilene_VORTAC_US","ABI","Abilene","VORTAC",113700,32.481300354003906,-99.8635025024414,1810,"US",113700,"084X",,,,10.012,6.246,"BOTH","HIGH","KDYS"
85212,"Djibouti_Ambouli_TACAN_DJ","ABI","Djibouti/Ambouli","TACAN",114600,11.549500465393066,43.154598236083984,49,"DJ",114600,"093X",,,,,1.265,"BOTH","HIGH","HDAM"
