"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
302850,"AF-URU","URU","Orūzgān Province","AS","AF","https://en.wikipedia.org/wiki/Or%C5%ABzg%C4%81n_Province","airports"
302858,"AF-WAR","WAR","Wardak Province","AS","AF","https://en.wikipedia.org/wiki/Wardak_Province","Airports in Wardak Province"
302859,"AF-ZAB","ZAB","Zabul Province","AS","AF","https://en.wikipedia.org/wiki/Zabul_Province","Airports in Zabul Province"
306768,"AG-03",03,"Saint George Parish","NA","AG","https://en.wikipedia.org/wiki/Saint_George_Parish_(Antigua_and_Barbuda)","Airports in Saint George Parish"
306769,"AG-04",04,"Saint John Parish","NA","AG","https://en.wikipedia.org/wiki/Saint_John_Parish_(Antigua_and_Barbuda)","Airports in Saint John Parish"
306770,"AG-05",05,"Saint Mary Parish","NA","AG","https://en.wikipedia.org/wiki/Saint_Mary_Parish_(Antigua_and_Barbuda)","Airports in Saint Mary Parish"
306771,"AG-06",06,"Saint Paul Parish","NA","AG","https://en.wikipedia.org/wiki/Saint_Paul_Parish_(Antigua_and_Barbuda)","Airports in Saint Paul Parish"
306772,"AG-07",07,"Saint Peter Parish","NA","AG","https://en.wikipedia.org/wiki/Saint_Peter_Parish_(Antigua_and_Barbuda)","Airports in Saint Peter Parish"
306773,"AG-08",08,"Saint Philip Parish","NA","AG","https://en.wikipedia.org/wiki/Saint_Philip_Parish_(Antigua_and_Barbuda)","Airports in Saint Philip Parish"
306774,"AG-10",10,"Barbuda Dependency","NA","AG","https://en.wikipedia.org/wiki/Barbuda","Airports in Barbuda Dependency"
349523,"AG-11",11,"Redonda Dependency","NA","AG","https://en.m.wikipedia.org/wiki/Redonda","Airports in Redonda Dependency"
505806,"AG-RE","RE","Redonda","NA","AG","https://en.wikipedia.org/wiki/Redonda","Airports in Redonda"
302860,"AG-U-A","U-A","(unassigned)","NA","AG",,"Airports in (unassigned)"
302861,"AI-U-A","U-A","(unassigned)","NA","AI",,"Airports in (unassigned)"
302862,"AL-01",01,"Berat County","EU","AL","https://en.wikipedia.org/wiki/Berat_County","Airports in Berat County"
302866,"AL-02",02,"Durrës County","EU","AL","https://en.wikipedia.org/wiki/Durrës_County","Airports in Durrës County"
302868,"AL-03",03,"Elbasan County","EU","AL","https://en.wikipedia.org/wiki/Elbasan_County","Airports in Elbasan County"
302870,"AL-04",04,"Fier County","EU","AL","https://en.wikipedia.org/wiki/Fier_County","Airports in Fier County"
302871,"AL-05",05,"Gjirokastër County","EU","AL","https://en.wikipedia.org/wiki/Gjirokastër_County","Airports in Gjirokastër County"
302877,"AL-06",06,"Korçë County","EU","AL","https://en.wikipedia.org/wiki/Korçë_County","Airports in Korçë County"
302879,"AL-07",07,"Kukës County","EU","AL","https://en.wikipedia.org/wiki/Kukës_County","Airports in Kukës County"
302881,"AL-08",08,"Lezhë County","EU","AL","https://en.wikipedia.org/wiki/Lezhë_County","Airports in Lezhë County"
302864,"AL-09",09,"Dibër County","EU","AL","https://en.wikipedia.org/wiki/Dibër_County","Airports in Dibër County"
302891,"AL-10",10,"Shkodër County","EU","AL","https://en.wikipedia.org/wiki/Shkodër_County","Airports in Shkodër County"
302896,"AL-11",11,"Tirana County","EU","AL","https://en.wikipedia.org/wiki/Tirana_County","Airports in Tirana County"
302898,"AL-12",12,"Vlorë County","EU","AL","https://en.wikipedia.org/wiki/Vlorë_County","Airports in Vlorë County"
302897,"AL-U-A","U-A","(unassigned)","EU","AL",,"Airports in (unassigned)"
302899,"AM-AG","AG","Aragatsotn Province","AS","AM","https://en.wikipedia.org/wiki/Aragatsotn_Province","Aragacotn, Արագածոտն"
302900,"AM-AR","AR","Ararat Province","AS","AM","https://en.wikipedia.org/wiki/Ararat_Province","Արարատ"
302901,"AM-AV","AV","Armavir Province","AS","AM","https://en.wikipedia.org/wiki/Armavir_Province","Արմավիր"
302902,"AM-ER","ER","Yerevan (capital district)","AS","AM","https://en.wikipedia.org/wiki/Yerevan","Erevan"
302903,"AM-GR","GR","Gegharkunik Province","AS","AM","https://en.wikipedia.org/wiki/Gegharkunik_Province","Գեղարքունիք"
302904,"AM-KT","KT","Kotayk Province","AS","AM","https://en.wikipedia.org/wiki/Kotayk_Province","Kotayk', Կոտայք"
302905,"AM-LO","LO","Lori Province","AS","AM","https://en.wikipedia.org/wiki/Lori_Province","Lory, Լոռի"
302906,"AM-SH","SH","Shirak Province","AS","AM","https://en.wikipedia.org/wiki/Shirak_Province","Sirak, Շիրակ"
302907,"AM-SU","SU","Syunik Province","AS","AM","https://en.wikipedia.org/wiki/Syunik_Province","Syunik'"
302908,"AM-TV","TV","Tavush Province","AS","AM","https://en.wikipedia.org/wiki/Tavush_Province","Tavus, Տավուշ"
302909,"AM-U-A","U-A","(unassigned)","AS","AM",,"Airports in (unassigned)"
302910,"AM-VD","VD","Vayots Dzor Province","AS","AM","https://en.wikipedia.org/wiki/Vayots_Dzor_Province","Vayoc Jor, Վայոց Ձոր"
302912,"AO-BGO","BGO","Bengo Province","AF","AO","https://en.wikipedia.org/wiki/Bengo_Province","Airports in Bengo Province"
302913,"AO-BGU","BGU","Benguela Province","AF","AO","https://en.wikipedia.org/wiki/Benguela_ Province","Airports in Benguela Province"
302914,"AO-BIE","BIE","Bié Province","AF","AO","https://en.wikipedia.org/wiki/Bi%C3%A9_Province","Airports in Bié Province"
302915,"AO-CAB","CAB","Cabinda Province","AF","AO","https://en.wikipedia.org/wiki/Cabinda_ Province","Airports in Cabinda Province"
302916,"AO-CCU","CCU","Cuando Cubango Province","AF","AO","https://en.wikipedia.org/wiki/Cuando_Cubango_Province","Airports in Cuando Cubango Province"
302917,"AO-CNN","CNN","Cunene Province","AF","AO","https://en.wikipedia.org/wiki/Cunene_ Province","Airports in Cunene Province"
302918,"AO-CNO","CNO","Cuanza Norte Province","AF","AO","https://en.wikipedia.org/wiki/Cuanza_Norte_ Province","Airports in Cuanza Norte Province"
302919,"AO-CUS","CUS","Cuanza Sul Province","AF","AO","https://en.wikipedia.org/wiki/Cuanza_Sul_ Province","Airports in Cuanza Sul Province"
302920,"AO-HUA","HUA","Huambo Province","AF","AO","https://en.wikipedia.org/wiki/Huambo_ Province","Airports in Huambo Province"
302921,"AO-HUI","HUI","Huíla Province","AF","AO","https://en.wikipedia.org/wiki/Hu%C3%ADla_Province","Airports in Huíla Province"
302922,"AO-LNO","LNO","Lunda Norte Province","AF","AO","https://en.wikipedia.org/wiki/Lunda_Norte_ Province","Airports in Lunda Norte Province"
302923,"AO-LSU","LSU","Lunda Sul Province","AF","AO","https://en.wikipedia.org/wiki/Lunda_Sul_ Province","Airports in Lunda Sul Province"
302924,"AO-LUA","LUA","Luanda Province","AF","AO","https://en.wikipedia.org/wiki/Luanda_ Province","Airports in Luanda Province"
302925,"AO-MAL","MAL","Malanje Province","AF","AO","https://en.wikipedia.org/wiki/Malanje_Province","Malange Province"
302926,"AO-MOX","MOX","Moxico Province","AF","AO","https://en.wikipedia.org/wiki/Moxico_ Province","Airports in Moxico Province"
302927,"AO-NAM","NAM","Namibe Province","AF","AO","https://en.wikipedia.org/wiki/Namibe_ Province","Moçamedes Province"
302928,"AO-U-A","U-A","(unassigned)","AF","AO",,"Airports in (unassigned)"
302929,"AO-UIG","UIG","Uíge Province","AF","AO","https://en.wikipedia.org/wiki/U%C3%ADge_Province","Airports in Uíge Province"
302930,"AO-ZAI","ZAI","Zaire Province","AF","AO","https://en.wikipedia.org/wiki/Zaire_Province","Airports in Zaire Province"
302931,"AQ-U-A","U-A","(unassigned)","AN","AQ",,"Airports in (unassigned)"
302932,"AR-A","A","Salta Province","SA","AR","https://en.wikipedia.org/wiki/Salta_Province","Airports in Salta Province"
302933,"AR-B","B","Buenos Aires Province","SA","AR","https://en.wikipedia.org/wiki/Buenos_Aires_Province","Airports in Buenos Aires Province"
302934,"AR-C","C","Buenos Aires (Autonomous City)","SA","AR","https://en.wikipedia.org/wiki/Buenos_Aires","Airports in Capital federal"
302935,"AR-D","D","San Luis Province","SA","AR","https://en.wikipedia.org/wiki/San_Luis_Province",
302936,"AR-E","E","Entre Ríos Province","SA","AR","https://en.wikipedia.org/wiki/Entre_R%C3%ADos_Province",
306324,"AR-F","F","La Rioja Province","SA","AR","https://en.wikipedia.org/wiki/La_Rioja_Province_(Argentina)","Airports in La Rioja Province"
302937,"AR-G","G","Santiago del Estero Province","SA","AR","https://en.wikipedia.org/wiki/Santiago_del_Estero_Province",
302938,"AR-H","H","Chaco Province","SA","AR","https://en.wikipedia.org/wiki/Chaco_Province","Airports in Chaco Province"
302939,"AR-J","J","San Juan Province","SA","AR","https://en.wikipedia.org/wiki/San_Juan_Province_(Argentina)",
302940,"AR-K","K","Catamarca Province","SA","AR","https://en.wikipedia.org/wiki/Catamarca_Province",
302941,"AR-L","L","La Pampa Province","SA","AR","https://en.wikipedia.org/wiki/La_Pampa_Province","Airports in La Pampa Province"
302942,"AR-M","M","Mendoza Province","SA","AR","https://en.wikipedia.org/wiki/Mendoza_Province",
302943,"AR-N","N","Misiones Province","SA","AR","https://en.wikipedia.org/wiki/Misiones_Province","Airports in Misiones Province"
302944,"AR-P","P","Formosa Province","SA","AR","https://en.wikipedia.org/wiki/Formosa_Province","Airports in Formosa Province"
302945,"AR-Q","Q","Neuquén Province","SA","AR","https://en.wikipedia.org/wiki/Neuqu%C3%A9n_Province",
302946,"AR-R","R","Río Negro Province","SA","AR","https://en.wikipedia.org/wiki/R%C3%ADo_Negro_Province",
302947,"AR-S","S","Santa Fe Province","SA","AR","https://en.wikipedia.org/wiki/Santa_Fe_Province",
302948,"AR-T","T","Tucumán Province","SA","AR","https://en.wikipedia.org/wiki/Tucum%C3%A1n_Province","Airports in Tucumán Province"
302949,"AR-U","U","Chubut Province","SA","AR","https://en.wikipedia.org/wiki/Chubut_Province",
302950,"AR-U-A","U-A","(unassigned)","SA","AR",,"Airports in (unassigned)"
302951,"AR-V","V","Tierra del Fuego Province","SA","AR","https://en.wikipedia.org/wiki/Tierra_del_Fuego_Province_(Argentina)","Airports in Tierra del Fuego Province"
302952,"AR-W","W","Corrientes Province","SA","AR","https://en.wikipedia.org/wiki/Corrientes_Province",
302953,"AR-X","X","Córdoba Province","SA","AR","https://en.wikipedia.org/wiki/C%C3%B3rdoba_Province_(Argentina)",
302954,"AR-Y","Y","Jujuy Province","SA","AR","https://en.wikipedia.org/wiki/Jujuy_Province",
302955,"AR-Z","Z","Santa Cruz Province","SA","AR","https://en.wikipedia.org/wiki/Santa_Cruz_Province_(Argentina)","Airports in Santa Cruz Province"
349781,"AS-ET","ET","Eastern District","OC","AS","https://en.wikipedia.org/wiki/Eastern_District,_American_Samoa","Airports in Eastern District"
349783,"AS-MA","MA","Manuʻa District","OC","AS","https://en.wikipedia.org/wiki/Manu%CA%BBa_District","Airports in Manuʻa District"
302956,"AS-U-A","U-A","(unassigned)","OC","AS",,"Airports in (unassigned)"
349782,"AS-WT","WT","Western District","OC","AS","https://en.wikipedia.org/wiki/Western_District,_American_Samoa","Airports in Western District"
302957,"AT-1",1,"Burgenland","EU","AT","https://en.wikipedia.org/wiki/Burgenland","Airports in Burgenland"
302958,"AT-2",2,"Carinthia","EU","AT","https://en.wikipedia.org/wiki/Carinthia","Kärnten"
302959,"AT-3",3,"Lower Austria","EU","AT","https://en.wikipedia.org/wiki/Lower_Austria","Niederösterreich"
302960,"AT-4",4,"Upper Austria","EU","AT","https://en.wikipedia.org/wiki/Upper_Austria","Oberösterreich"
302961,"AT-5",5,"Salzburg","EU","AT","https://en.wikipedia.org/wiki/Salzburg","Airports in Salzburg"
302962,"AT-6",6,"Styria","EU","AT","https://en.wikipedia.org/wiki/Styria","Steiermark"
302963,"AT-7",7,"Tyrol","EU","AT","https://en.wikipedia.org/wiki/Tyrol","Tirol"
302964,"AT-8",8,"Vorarlberg","EU","AT","https://en.wikipedia.org/wiki/Vorarlberg","Airports in Vorarlberg"
302965,"AT-9",9,"Vienna","EU","AT","https://en.wikipedia.org/wiki/Vienna","Wien"
302966,"AT-U-A","U-A","(unassigned)","EU","AT",,"Airports in (unassigned)"
302967,"AU-AAT","AAT","Australian Antarctic Territory","OC","AU","https://en.wikipedia.org/wiki/Australian_Antarctic_Territory","Airports in Australian Antarctic Territory"
302968,"AU-ACT","ACT","Australian Capital Territory","OC","AU","https://en.wikipedia.org/wiki/Australian_Capital_Territory","Airports in Australian Capital Territory"
302969,"AU-NSW","NSW","New South Wales","OC","AU","https://en.wikipedia.org/wiki/New_South_Wales","Airports in New South Wales"
302970,"AU-NT","NT","Northern Territory","OC","AU","https://en.wikipedia.org/wiki/Northern_Territory","Airports in Northern Territory"
302971,"AU-QLD","QLD","Queensland","OC","AU","https://en.wikipedia.org/wiki/Queensland","Airports in Queensland"
302972,"AU-SA","SA","South Australia","OC","AU","https://en.wikipedia.org/wiki/South_Australia","South Australian airports"
302973,"AU-TAS","TAS","Tasmania","OC","AU","https://en.wikipedia.org/wiki/Tasmania","Tasmanian airports"
302974,"AU-U-A","U-A","(unassigned)","OC","AU",,"Airports in (unassigned)"
302975,"AU-VIC","VIC","Victoria","OC","AU","https://en.wikipedia.org/wiki/Victoria_(Australia)","Victorian airports"
302976,"AU-WA","WA","Western Australia","OC","AU","https://en.wikipedia.org/wiki/Western_Australia","Western Australian airports"
430671,"AU-XX","XX","(FPSOs)","OC","AU",,
302977,"AW-U-A","U-A","(unassigned)","NA","AW",,"Airports in (unassigned)"
302978,"AZ-AB","AB","Ali Bayramli District","AS","AZ","https://en.wikipedia.org/wiki/Ali_Bayramli_District","Airports in Ali Bayramli District"
302979,"AZ-ABS","ABS","Abseron District","AS","AZ","https://en.wikipedia.org/wiki/Abseron_District","Airports in Abseron District"
302980,"AZ-AGA","AGA","Agstafa District","AS","AZ","https://en.wikipedia.org/wiki/Agstafa_District","Airports in Agstafa District"
302981,"AZ-AGC","AGC","Agjabadi District","AS","AZ","https://en.wikipedia.org/wiki/Aghjabadi_District","Airports in Agjabadi District"
302982,"AZ-AGM","AGM","Agdam District","AS","AZ","https://en.wikipedia.org/wiki/Agdam_District","Airports in Agdam District"
302983,"AZ-AGS","AGS","Agdash District","AS","AZ","https://en.wikipedia.org/wiki/Agdash_District","Airports in Agdash District"
302984,"AZ-AGU","AGU","Agsu District","AS","AZ","https://en.wikipedia.org/wiki/Agsu_District","Airports in Agsu District"
302985,"AZ-AST","AST","Astara District","AS","AZ","https://en.wikipedia.org/wiki/Astara_District","Airports in Astara District"
302986,"AZ-BA","BA","Baku (city)","AS","AZ","https://en.wikipedia.org/wiki/Baku","Airports in Baku (city)"
302987,"AZ-BAB","BAB","Babak District","AS","AZ","https://en.wikipedia.org/wiki/Babak_District","Airports in Babak District"
302988,"AZ-BAL","BAL","Balakan District","AS","AZ","https://en.wikipedia.org/wiki/Balakan_District","Airports in Balakan District"
302989,"AZ-BAR","BAR","Barda District","AS","AZ","https://en.wikipedia.org/wiki/Barda_District","Airports in Barda District"
302990,"AZ-BEY","BEY","Beylagan District","AS","AZ","https://en.wikipedia.org/wiki/Beylagan_District","Airports in Beylagan District"
302991,"AZ-BIL","BIL","Bilasuvar District","AS","AZ","https://en.wikipedia.org/wiki/Bilasuvar_District","Airports in Bilasuvar District"
302992,"AZ-CAB","CAB","Cabrayll District","AS","AZ","https://en.wikipedia.org/wiki/Cabrayll_District","Airports in Cabrayll District"
302993,"AZ-CAL","CAL","Calilabad District","AS","AZ","https://en.wikipedia.org/wiki/Calilabad_District","Airports in Calilabad District"
302994,"AZ-CUL","CUL","Culfa District","AS","AZ","https://en.wikipedia.org/wiki/Culfa_District","Airports in Culfa District"
302995,"AZ-DAS","DAS","Daskasan District","AS","AZ","https://en.wikipedia.org/wiki/Daskasan_District","Airports in Daskasan District"
302996,"AZ-DAV","DAV","Davaci District","AS","AZ","https://en.wikipedia.org/wiki/Davaci_District","Airports in Davaci District"
302997,"AZ-FUZ","FUZ","Fuzuli District","AS","AZ","https://en.wikipedia.org/wiki/Fuzuli_District","Airports in Fuzuli District"
302998,"AZ-GA","GA","Ganja (city)","AS","AZ","https://en.wikipedia.org/wiki/Ganja,_Azerbaijan","Elisabethpol, Gyandzha"
302999,"AZ-GAD","GAD","Gadabay District","AS","AZ","https://en.wikipedia.org/wiki/Gadabay_District","Airports in Gadabay District"
303000,"AZ-GOR","GOR","Goranboy District","AS","AZ","https://en.wikipedia.org/wiki/Goranboy_District","Airports in Goranboy District"
303001,"AZ-GOY","GOY","Goychay District","AS","AZ","https://en.wikipedia.org/wiki/Goychay_District","Airports in Goychay District"
303002,"AZ-HAC","HAC","Hajigabul District","AS","AZ","https://en.wikipedia.org/wiki/Hajigabul_District","Airports in Hajigabul District"
303003,"AZ-IMI","IMI","Imisli District","AS","AZ","https://en.wikipedia.org/wiki/Imisli_District","Airports in Imisli District"
303004,"AZ-ISM","ISM","Ismayilli District","AS","AZ","https://en.wikipedia.org/wiki/Ismayilli_District","Airports in Ismayilli District"
303005,"AZ-KAL","KAL","Kalbacar District","AS","AZ","https://en.wikipedia.org/wiki/Kalbacar_District","Airports in Kalbacar District"
303006,"AZ-KUR","KUR","Kurdamir District","AS","AZ","https://en.wikipedia.org/wiki/Kurdamir_District","Airports in Kurdamir District"
303007,"AZ-LA","LA","Lankaran District","AS","AZ","https://en.wikipedia.org/wiki/Lankaran_District","Airports in Lankaran District"
303008,"AZ-LAC","LAC","Lacin District","AS","AZ","https://en.wikipedia.org/wiki/Lacin_District","Airports in Lacin District"
303009,"AZ-LER","LER","Lerik District","AS","AZ","https://en.wikipedia.org/wiki/Lerik_District","Airports in Lerik District"
303010,"AZ-MAS","MAS","Masally District","AS","AZ","https://en.wikipedia.org/wiki/Masally_District","Airports in Masally District"
303011,"AZ-MI","MI","Mingacevir District","AS","AZ","https://en.wikipedia.org/wiki/Mingacevir_District","Airports in Mingacevir District"
303012,"AZ-NA","NA","Naftalan District","AS","AZ","https://en.wikipedia.org/wiki/Naftalan_District","Airports in Naftalan District"
303013,"AZ-NEF","NEF","Neftcala District","AS","AZ","https://en.wikipedia.org/wiki/Neftcala_District","Airports in Neftcala District"
303014,"AZ-NX","NX","Nakhchivan Autonomous Republic","AS","AZ","https://en.wikipedia.org/wiki/Nakhchivan_Autonomous_Republic","Airports in Nakhchivan Autonomous Republic"
303015,"AZ-OGU","OGU","Oguz District","AS","AZ","https://en.wikipedia.org/wiki/Oguz_District","Airports in Oguz District"
303016,"AZ-ORD","ORD","Ordubad District","AS","AZ","https://en.wikipedia.org/wiki/Ordubad_District","Airports in Ordubad District"
303017,"AZ-QAB","QAB","Qabala District","AS","AZ","https://en.wikipedia.org/wiki/Qabala_District","Airports in Qabala District"
303018,"AZ-QAX","QAX","Qax District","AS","AZ","https://en.wikipedia.org/wiki/Qax_District","Airports in Qax District"
303019,"AZ-QAZ","QAZ","Qazax District","AS","AZ","https://en.wikipedia.org/wiki/Qazax_District","Airports in Qazax District"
303020,"AZ-QBA","QBA","Quba District","AS","AZ","https://en.wikipedia.org/wiki/Quba_District","Airports in Quba District"
303021,"AZ-QBI","QBI","Qubadli District","AS","AZ","https://en.wikipedia.org/wiki/Qubadli_District","Airports in Qubadli District"
303022,"AZ-QOB","QOB","Qobustan District","AS","AZ","https://en.wikipedia.org/wiki/Qobustan_District","Airports in Qobustan District"
303023,"AZ-QUS","QUS","Qusar District","AS","AZ","https://en.wikipedia.org/wiki/Qusar_District","Airports in Qusar District"
303024,"AZ-SA","SA","Shaki District","AS","AZ","https://en.wikipedia.org/wiki/Shaki_District","Airports in Shaki District"
303025,"AZ-SAB","SAB","Sabirabad District","AS","AZ","https://en.wikipedia.org/wiki/Sabirabad_District","Airports in Sabirabad District"
303026,"AZ-SAD","SAD","Sadarak District","AS","AZ","https://en.wikipedia.org/wiki/Sadarak_District","Airports in Sadarak District"
303027,"AZ-SAH","SAH","Sahbuz District","AS","AZ","https://en.wikipedia.org/wiki/Sahbuz_District","Airports in Sahbuz District"
303028,"AZ-SAL","SAL","Salyan District","AS","AZ","https://en.wikipedia.org/wiki/Salyan_District","Airports in Salyan District"
303029,"AZ-SAR","SAR","Sarur District","AS","AZ","https://en.wikipedia.org/wiki/Sarur_District","Airports in Sarur District"
303030,"AZ-SAT","SAT","Saatli District","AS","AZ","https://en.wikipedia.org/wiki/Saatli_District","Airports in Saatli District"
303031,"AZ-SIY","SIY","Siyazan District","AS","AZ","https://en.wikipedia.org/wiki/Siyazan_District","Airports in Siyazan District"
303032,"AZ-SKR","SKR","Samkir District","AS","AZ","https://en.wikipedia.org/wiki/Samkir_District","Airports in Samkir District"
303033,"AZ-SM","SM","Sumqayit (city)","AS","AZ","https://en.wikipedia.org/wiki/Sumqayit","Airports in Sumqayit (city)"
303034,"AZ-SMI","SMI","Samaxi District","AS","AZ","https://en.wikipedia.org/wiki/Samaxi_District","Airports in Samaxi District"
303035,"AZ-SMX","SMX","Samux District","AS","AZ","https://en.wikipedia.org/wiki/Samux_District","Airports in Samux District"
303036,"AZ-SS","SS","Susa District","AS","AZ","https://en.wikipedia.org/wiki/Susa_District","Airports in Susa District"
303037,"AZ-TAR","TAR","Tartar District","AS","AZ","https://en.wikipedia.org/wiki/Tartar_District","Airports in Tartar District"
303038,"AZ-TOV","TOV","Tovuz District","AS","AZ","https://en.wikipedia.org/wiki/Tovuz_District","Airports in Tovuz District"
303039,"AZ-U-A","U-A","(unassigned)","AS","AZ",,"Airports in (unassigned)"
303040,"AZ-UCA","UCA","Ucar District","AS","AZ","https://en.wikipedia.org/wiki/Ucar_District","Airports in Ucar District"
