"id", "threadRef", "airportRef", "airportIdent", "date", "memberNickname", "subject", "body"
610077,83356,26682,"VTUL","2026-08-01 04:52:15","Bollardant2","Loei Airport","As of 2024. In the foyer, a Muslim prayer room on second floor, bathrooms easily accessible from waiting room, cafe, and overall clean. In waiting room, minimal but modest. Taxi services are provided. There are plans to upgrade the terminal, though I haven’t seen any progress since announcement. Recently, there have been infrastructure upgrades to the roads in Loei, adding more lanes and rebuilding bridges. In the villages, bridges are also being upgraded and overgrowing shrubbery have been cleared, as such in Ban Nam Chan.

Interesting fact: heavy machinery involved in construction works at the airport at the western edge of Ban Na A severely damaged an ordination hall of ‘Wat Pho Chai’ around 1969."
610076,83355,610075,"AU-0808","2026-08-01 04:39:47","Bollardant2","The First ‘Airfield’ in Australia","Penrith Speedway-Aerodrome is the first case land was set aside for aviation services. It was used by George and Florence Taylor’s Aerial League of Australia to experiment human-carrying gliders during 1909, which also gave Australia’s first pilot license to William Ewart Hart on 5 December 1911. Hart then established an aviation school here on 3 January 1912, though he later moved to the Ham Common in March of that year (also the site of RAAF Base Richmond). Aviation activities returned on 28 January 1928 when an aerodrome was opened, hosting aerial pageants and races along with aircraft races against motormobiles. 

The speedway and aerodrome closed in 1941 to develop the Penrith Engineers' Stores Depot, becoming one of Australia’s principal depots by the 1960s. Not much was made to bring this historical site to light, aside from a plaque and art installation."
610071,83078,11402,"4FA3","2026-07-31 17:01:02","Rob33904","re: (no subject)","Reply to @labubuairportenthusiast: That would be awesome."
610062,83354,6077,"SESD","2026-07-31 01:45:16","Heartfrog_MSFS","No Pilot Info Page","The airport's pilot info page doesn't exist but the airfield is mostly used for general aviation and local operations in the city. The airport's runway length is 1,118m."
610059,83353,342107,"IQ-0070","2026-07-30 15:02:57","Heartfrog_MSFS","Delayed Construction","The Kurdistan Regional Government started the project in 2012 but they have faced many delays and the planned opening date is unknown. It will serve as the third international airport in the Kurdish region of Iraq upon completion."
610054,83352,8280,"1FD4","2026-07-29 19:04:03","labubuairportenthusiastTWO","ok man","i have seen almost 0 activity from this airstrip PLEAAAASEE tell me if you do"
610053,83318,17427,"FL59","2026-07-29 19:01:53","labubuairportenthusiastTWO","re: Mostly used by mosquito control.","Reply to @Rob33904: there’s also an airpark situated around the actual airstrip"
610052,83078,11402,"4FA3","2026-07-29 18:59:25","labubuairportenthusiastTWO","re: (no subject)","Reply to @Rob33904:

new account sorry
uhh i made a google doc about this airport with a friend if you want me to link it"
610051,83351,601890,"US-12783","2026-07-29 18:57:48","labubuairportenthusiastTWO","huh???","how is this still on the platform"
610050,83073,602464,"US-12816","2026-07-29 18:54:25","labubuairportenthusiastTWO","re: note!","Reply to @labubuairportenthusiast: hope i’m not too late

anyways so coopland landing strip was completely inaccurate in this description i gave on my old account
it was an airstrip that was established in the 80s, not the 90s. i thought a tree nursery’s road was the airstrip

uhh no i was wrong"
610046,83350,315917,"LBAM","2026-07-29 09:02:33","lbam","Private and fully licensed airport LBAM “Alfa-Metal”","Hotel, Swimming Pool, SPA, Gym, Tactical Training Facilities, Shooting Range.
Runway is concrete built with Length of 550m / Width of 60msq.m.
The runway is ideal for Take-off and landing operations of small aircraft, Guided tour; Tactical shooting;; Drone demonstrations; Local sightseeing"
610034,83348,4762,"MMUN","2026-07-28 20:37:22","erika-burgos","(no subject)","The airport has four terminals and one FBO. Each terminal offers a variety of restaurants, stores, and many transportation companies for transfers. Some are good but used to be expensive. It's better to book transportation in advance because you could be scammed otherwise. Reliable transportation companies include Cancun Airport Transportation, Cancun Shuttles, and Airport Transportation and Taxi Aeropuerto Cancun."
610033,83347,31923,"MMSM","2026-07-28 17:49:25","erika-burgos","(no subject)","Good airport, very clean!"
610009,83346,4315,"LIBR","2026-07-27 07:03:00","I_Am_So_Handsome","First comment","The ancient concrete pavings look like the airport was built in WW1."
610001,83345,21870,"US-11633","2026-07-26 06:09:07","meredith","re: My mom sold planes here","Reply to @meredith: Oh, and I also took horseback riding lessons at Misty Manor Farm across from the airfield. 40 years later and I'm realizing I don't know how the horses handled the planes coming and going! The airport's owner, Al Bassler, wrote a book about Howard County history a couple of years ago at the young age of 97."
610000,83345,21870,"US-11633","2026-07-26 05:58:47","meredith","My mom sold planes here","My mom used to have a small business selling planes and she sold out of Haysfield. This was also a great place to see Halley's Comet back in 1986, at the time the light pollution was pretty low. It's a bummer to see the location marker on top of a housing development in the satellite view."
609961,83343,10380,"3AR0","2026-07-22 11:40:53","AlanM70","Parts Run","Picked up turbine parts early morning to get home in a decent time."
609960,83342,20429,"KM36","2026-07-22 11:36:50","AlanM70","Fuel Stop","Their fuel still doesn't cost an arm and a leg to fill up, just an arm."
609941,83341,609940,"CD-0071","2026-07-21 00:19:13","Pugliapilot","Alphamine Bisie Airfield","not have icao code is mining airfield"
609938,80245,324808,"IT-0528","2026-07-20 17:40:33","Pugliapilot","re: (no subject)","The aeroclub is currently closed and inactive. Even though the airfield is still visible from above, landing there is not permitted. The main contact person was Francesco Santoro, who died in an aircraft accident on April 21, 2010.

The area is currently out of operation. I do not know the exact reasons why it was closed or who the current owner is, but I know that in 2015 an aerial drug-trafficking operation involving marijuana transported from Albania was dismantled at that aeroclub.

Today, in 2026, anyone wishing to land in the area can use the new Dune Airpark, located approximately 2 kilometres farther north, near the town of Montalbano."
609936,83340,609935,"CG-0007","2026-07-20 17:11:51","Pugliapilot","Aereodromo di Walikale","The new Walikale airfield has an unpaved runway. Before it was built, aircraft used to land on the main road through Walikale town centre. The airfield currently has no assigned ICAO code."
609928,80245,324808,"IT-0528","2026-07-20 07:37:05","MINKY","re: (no subject)","@Pugliapilot Cosa è successo esattamente qui? Sono passato di qui e sembra abbandonato. Si può ancora usare? Sto cercando un sito per atterrare, chi è il proprietario attuale?"
609879,83339,609877,"CY-0092","2026-07-18 04:59:34","Iaroslav_Dettsel","(no subject)","It's military airport under Turkey control. Turkish army using it."
609876,83338,26377,"USRR","2026-07-17 12:40:14","Iaroslav_Dettsel","(no subject)","I can't say that it's good. Small, old, one shop on all building."
609875,83337,6451,"UGKO","2026-07-17 12:32:29","Iaroslav_Dettsel","(no subject)","Good airport. Clean, modern, but small. However, I don't think they need bigger."
609874,83336,6446,"UDYZ","2026-07-17 12:29:33","Iaroslav_Dettsel","(no subject)","Good airport, big, modern and clean. It's really cool custom there, no queues, but only two cafes."
609873,83335,26396,"UUEE","2026-07-17 12:23:01","Iaroslav_Dettsel","(no subject)","Good airport, really big and modern"
609872,83334,6507,"UNNT","2026-07-17 12:21:33","Iaroslav_Dettsel","(no subject)","Good airport, big, modern and clean. Hub for S7 Airlines."
609871,83333,3980,"LCLK","2026-07-17 12:18:31","Iaroslav_Dettsel","(no subject)","Good airport, big, modern and clean."
609869,83332,314577,"EGCA","2026-07-17 07:11:21","Hitch","Incorrect ICAO designator indicated on Windy","Incorrect ICAO designator indicated on Windy: “EGCA” has been withdrawn and is now Cavendish. The airfield is an unlicensed Certificate of Agreement airfield with full planning approval to exist. Coal Aston lost it’s association with the designator when it was purchased by a third party under the name of Cavendish."
609852,83331,609851,"IT-0987","2026-07-16 17:24:19","Pugliapilot","Elisuperficie di Formigliana","Elisuperificie di servizio e soccorso"
609850,83330,609849,"IT-0986","2026-07-16 17:19:22","Pugliapilot","Elisuperficie di Recetto","Elisuperficie di servizio e soccorso"
609847,83329,609846,"IT-0985","2026-07-16 17:15:34","Pugliapilot","Elisuperficie Casalvolone","elisuperficie di servizio e soccorso"
609840,83328,607205,"HHAL","2026-07-16 12:08:48","SteveZ","Rough Airsrip","Soft Airstip RWY 020/200.     Managed to get Cessna 208 in"
609830,83327,5044,"NZNS","2026-07-16 00:03:33","MikeFly","CHANGES TO NAVIGATIONAL BEACONS","1. The Appleby NDB 210.0 KHz is no longer in existance.
2  The VOR Position and frequency have changed. Frequency is now 113.10 MHz and position is directly in line with the centre line of the runway at the Southern end ""Runway 20"" on the Monaco strip of land. 
If you look at the map, there is housing to the East and West of the centre part of the strip of land called ""Monaco"". 
In the centre of the bare strip, between the buildings there is a white round ""grid like"" pattern when you zoom in. That is the EXACT site of the new VOR."
609820,83326,609819,"IT-0984","2026-07-15 15:36:38","Pugliapilot","Elisuperficie Hotel Novarello","Elisuperficie di servizio dell' Hotel Novarello"
609818,83325,609817,"IT-0983","2026-07-15 15:27:42","Pugliapilot","Elisuperficie Bellini","Area idonea per l'atterraggio anche notturno dell'elicottero 118."
609816,83324,609815,"IT-0982","2026-07-15 15:21:31","Pugliapilot","Elisuperficie di pernate","Elisoccorso sembra dismesso ma e da verificare se qualcuno ci volasse sopra perfavore segnalate se e' attivo o no"
609814,83323,19176,"K9A4","2026-07-15 13:45:25","David.A.Miller","This Airport is Open","I see that you have marked this airport as closed, however, I called them yesterday and they clearly said that they were open and that Jackie Hood Farms LLC was a fuel provider. They have it listed as Lawrence County Airport - 9A4 and the contact information is Glenn Reist lawrencecountyal.org/county-airport/. Phone number to confirm is on the airport's website."
609785,83322,26514,"VEMZ","2026-07-12 13:36:42","Lina","Muzaffarpur is Sub Capital of Bihar","Muzaffarpur is biggest city in North Bihar and only Smart City of North Bihar.
Bihar Government should declare the city as Sub Capital  of Bihar.
Bihar Government Should proposed to High Court Bench iin Muzaffarpur also Zoo, Science Museum, planetarium, Science City,, Metro Rail, Big Green Field Airport,AIIMS,IIT,Ring Road,Regional Hub of North Bihar.
Thanks"
609784,83321,26514,"VEMZ","2026-07-12 13:35:37","Lina","Muzaffarpur is Sub Capital of Bihar.","Muzaffarpur is biggest city in North Bihar and only Smart City of North Bihar.
Bihar Government should declare the city as Sub Capital  of Bihar.
Bihar Government Should proposed to High Court Bench iin Muzaffarpur also Zoo, Science Museum, planetarium, Science City,, Metro Rail, Big Green Field Airport,AIIMS,IIT,Ring Road,Regional Hub of North Bihar.
Thanks"
609783,83320,26514,"VEMZ","2026-07-12 13:33:56","Lina","Muzaffarpur is Sub Capital of Bihar.","Muzaffarpur is biggest city in North Bihar and only Smart City of North Bihar.
Bihar Government should declare the city as Sub Capital O Bihar.
Bihar Government Should proposed to High Court Bench iin Muzaffarpur also Zoo, Science Museum, planetarium, Science City,, Metro Rail, Big Green Field Airport,AIIMS,IIT,Ring Road,Regional Hub of North Bihar.
Thanks"
609782,81513,28120,"EHAL","2026-07-12 13:31:12","Jan_Olieslagers","re: Keywords: Aachen","Reply to @JPS: Done -  a bit late, though, admittedly."
609781,83011,26514,"VEMZ","2026-07-12 13:20:22","Lina","re: Muzaffarpur is Sub Capital Bihar","Reply to @Lina:"
609755,83319,2434,"EGLL","2026-07-11 07:58:05","tpsai59935","(no subject)","My experience at London Heathrow Airport was positive. The airport was clean, well-organized, and easy to navigate. The staff were helpful, and the overall process was smooth. A pleasant travel experience overall.

It's onlyheroines.com"
609744,83318,17427,"FL59","2026-07-10 19:57:24","Rob33904","Mostly used by mosquito control.","There is still GA activity, but it's mostly just helicopters and the occasional DC3 used for mosquito control. 

Runway 6 / 24 is often used for drag races."
609743,83078,11402,"4FA3","2026-07-10 19:54:16","Rob33904","re: (no subject)","Reply to @labubuairportenthusiast: Any information? I was told this was strip was initially bought by a German company that wanted to create some sort of airpark community."
609742,83317,17453,"FL86","2026-07-10 19:52:31","Rob33904","Only being used as a heliport.","Only currently being used as a helicopter landing for lee co. mosquito control. It's pretty active with several landings a week."
609629,3133,39720,"CA-0074","2026-07-02 19:47:04","Buzz777","re: Closed for years","Hey names Ryan looking to know if I could land here at the old strip I got a rans s12 do u know the person who live ing there now"
609567,83315,26555,"VIDP","2026-06-29 06:34:54","vvipflighgt","Ground Handling Services at VIDP Airport","VVIP Flight provides reliable and comprehensive ground handling services at VIDP Airport, ensuring seamless support for private, business, cargo, and charter aircraft. Our experienced operations team coordinates every aspect of your flight to deliver safe, efficient, and hassle-free airport services.

Our ground handling services at VIDP Airport include:

Aircraft Ground Handling Coordination
Landing & Overflight Permit Assistance
Airport Slot Coordination
Parking Arrangement & PPR Support
Flight Planning & Dispatch Services
Customs, Immigration & Quarantine (CIQ) Coordination
Aviation Fuel (Jet A-1) Arrangement
Aircraft Marshaling & Ramp Supervision
Crew & Passenger Meet and Assist
VIP Lounge Access
Hotel Reservations & Secure Ground Transportation
Inflight Catering Coordination
Weather Briefing & NOTAM Services
Aircraft Security Services
Cargo & Baggage Handling
24/7 Operational Support"
609535,83314,21161,"KT65","2026-06-28 15:15:19","rstan","(no subject)","Used o have cheap fuel"
609533,83313,20158,"KIER","2026-06-28 15:11:53","rstan","(no subject)","Nice country airport"
609456,83312,27194,"ZGGG","2026-06-22 09:41:41","iasbt","热、累、长！","机场里下飞机是最远端，出了机场去地图又走了这么远，地铁里的线也有点儿没看明白"
609455,83311,27230,"ZUUU","2026-06-22 09:26:49","iasbt","梦幻未来城","第一次去是凌晨，那些灯光让我感觉已经到2050年了，堪称梦幻未来城；贵宾厅一般，很一般。"
609454,83310,27222,"ZSOF","2026-06-22 08:58:08","iasbt","Nice!","看着挺破的，完全是郊区，但是也挺不错的，贵宾厅一般，感觉被忽悠了。"
609453,83309,27219,"ZSJN","2026-06-22 08:57:05","iasbt","Nice1","泰山泰山泰山，为爬泰山飞到这儿，出门转大巴去泰安，机场还在升级改造，服务人员很热情贴心，门外客运大巴车工作人员也很好，内外衔接也很好。"
609446,83308,17633,"HI23","2026-06-21 18:51:01","animebirder","Update","This airstrip has evidently not seen a flight in years, and is blocked by farm equipment and sheds.  Should have been delisted from FAA records long ago."
609445,83307,17647,"HI52","2026-06-21 18:49:37","animebirder","Trivia","This National Park Service maintenance heliport is the closest aviation facility to Kilauea.  That is a lot of tephra to deal with during eruption cycles!"
609444,83098,17627,"HI05","2026-06-21 18:45:47","animebirder","re: Still listed on AirNav but..","Reply to @animebirder: Honestly, the FAA should not be listing this facility at all whatsoever.  I was just here in May 2026 and it is basically barely a break in the trees at this point, even the old cane haul road is basically impassable.  The only place that FAA LID makes any sense is Microsoft Flight Simulator."
609437,83306,31977,"MWCL","2026-06-21 07:02:21","F22","Its great","be aware of wildlife while approaching"
609425,83305,3488,"KDFW","2026-06-20 17:56:24","F22","GO LONGHORNS","Its Clean Airport with a timeless design and charm."
609424,83304,5168,"OIII","2026-06-20 17:51:44","F22","OG Airport of the Middle East","nobody can beat it m its sheer size it's so huge i got lost in it twice its oldschool no new toys. capable ground crew and nobody can beat it"
609423,83303,5166,"OIIE","2026-06-20 17:48:03","F22","A hidden oasis","Hear me out> its a massive Airfield with Clean Traffic control and organized technicians. you need  to visit it"
609422,83302,351839,"AE-0127","2026-06-20 17:44:16","F22","AC130","great place and close to the SAUDI border. Beautiful scenery red sand and white plains. Occasionally you can spot camels or abandoned vehicles"
609421,83301,341687,"AE-0038","2026-06-20 17:39:21","F22","great view","Great view and easy approach and departure."
609420,83300,300320,"OMDW","2026-06-20 17:36:23","F22","2026 update","Its under development. the Masterplans are truly great but environmental impact is still unknown and its feasibility in the existing structure is a long process due to acclimation of existing infrastructure around DXB."
609419,83299,5236,"OMDM","2026-06-20 17:29:51","F22","2026 update","its a ghost town all the structure is sun bleached and sand taking it over. the airfield remains operational but the base has been mostly sold to the state for development and is accessible by anyone with a 4X4 car because the backdoor is open and camel farms have been established around the inner layer of the base."
609398,83298,4172,"LFOE","2026-06-19 18:41:16","michel-79200","Service National","J'étais ici en 1986 . J'ai appris a faire la protection des bases aériennes.
Puis j'ai servi ailleurs.
Que de bon souvenir."
609394,83297,29493,"LPVL","2026-06-19 10:29:32","Manustmo","a couple of corrections about LPVL","There are taxes here it's about 6€ per landing  and another for a night parking.
It's a quite convinient airfiend for those who would like to visit Porto some public transportation available as well as uber like transportation.
Be carefull when landing the runway 34 there are high-voltage power line not far from the threshold.
there is no municipal road crossing the runway, there is a tunnel below the airfield for that road.
Be carefull with the taxi area that are hardly bumping but praticable at low pace.
Hope this helps"
609339,83296,8640,"1S2","2026-06-17 06:38:45","Boomgaarden","Glorious Glaciers, amazing Peaks.","One of the prettiest approaches in the state — you come in up the Sauk River valley under Whitehorse Mountain with the Glacier Peak wilderness beyond. The 2,491' paved strip (10/28) is in good shape. Plan for day VFR, no fuel on field, and bring your own tie-downs. Expect some chop on warm afternoons landing west, and note the west end of the field is a local cemetery — keep your pattern honest.
What sets Darrington apart is the walk: about ten minutes into a real mountain town with groceries, coffee, and a couple of good spots to eat. The Mountain Loop Highway, the Old Sauk Trail, and the Wild & Scenic Sauk River are all right there, and the Darrington Bluegrass Festival every July (50th anniversary in 2027) makes a great fly-in weekend. The town is actively working to bring the airport back to life — come see it while it's still quiet."
609298,83295,347538,"US-5109","2026-06-15 19:23:47","ReefShore316","(no subject)","Did not appear in any topo but still existed"
609297,83294,347537,"US-5108","2026-06-15 19:23:16","ReefShore316","Lock in nga","Since when this was a fucking airport"
609296,83293,7705,"11FA","2026-06-15 19:19:49","ReefShore316","Lock the fuck in","Airport is not usable. Has been closed since the 70s."
609295,83070,606265,"US-12933","2026-06-15 19:03:52","ReefShore316","re: accident","Reply to @labubuairportenthusiast:"
609294,83073,602464,"US-12816","2026-06-15 18:59:25","ReefShore316","re: note!","Reply to @labubuairportenthusiast: It has not been established in the 90s. While looking at aerial views it seems it has been established at 1979-1980s?"
609293,83292,603037,"US-12846","2026-06-15 18:56:29","ReefShore316","(no subject)","There is a aerial photo with 2 single engine aircraft to the bottom of the airstrip."
609292,83291,609168,"US-12967","2026-06-15 18:54:29","ReefShore316","re: Just started gathering info","Reply to @ReefShore316: Hey it’s me! So this airstrip was indeed real and the runway was around 390 meters I’d say so and it has been established around the 1950s I’d say so? And that’s all I have for now"
609291,83291,609168,"US-12967","2026-06-15 18:53:50","ReefShore316","re: Just started gathering info","Reply to @ReefShore316: Hey it’s me! So this airstrip was indeed real and the runway was around 390 meters I’d say so and it has been established around the 1950s I’d say so? I’ll post more updates."
609261,83055,602059,"US-12794","2026-06-14 00:34:37","ReefShore316","re: not sure??","Reply to @labubuairportenthusiast:  ok thank you Mr labubu I’ve actually thought this was a real airport lol"
609255,83291,609168,"US-12967","2026-06-13 18:15:54","ReefShore316","Just started gathering info","I will be gathering info on this “airstrip” thing"
609250,83290,317645,"KP-0008","2026-06-13 06:22:05","aldy","(no subject)","i like this airport  but its already closed :("
609249,77114,27203,"ZKPY","2026-06-13 06:19:08","aldy","re: Complaint","kim will mad you"
609248,83289,27203,"ZKPY","2026-06-13 06:18:39","aldy","(no subject)","im bck again : )"
609247,83288,27203,"ZKPY","2026-06-13 06:18:06","aldy","(no subject)","heyyyyyyyyyyyyy"
609234,83287,38201,"AU-0002","2026-06-12 05:14:18","MNeale","Dirt strip","Not used before, is this still operational?"
609179,83285,2255,"EDNL","2026-06-09 18:09:20","tomweb1966","(no subject)","Very nice airfield, good restaurant"
609170,83283,604142,"US-12899","2026-06-08 20:26:01","ReefShore316","I thought this was not real","This airport was depicted in a 1994 glades Topographic map ."
609164,82771,603039,"US-12848","2026-06-08 18:29:28","ReefShore316","re: Website find","Thank you so much for the info!"
609160,83282,2390,"EGBE","2026-06-08 13:41:50","David_Snook","Closing very soon","Coventry Airport is set to close in the coming days. Closure date set as 11th June 2026."
609135,83281,509527,"AT-0011","2026-06-06 15:13:55","alexweinhart","Cool little airstrip!","the approach is amazing as the airfield is located on top of a hill above the town, theres also a bunch of stuff to do!"
609134,83126,607803,"AT-0093","2026-06-06 15:09:22","alexweinhart","re: Landing/Takeoff","Reply to @bobbrt: i recommend that also, but also be sure to contact the local council!!!"
609133,83280,607803,"AT-0093","2026-06-06 15:05:30","alexweinhart","Nice hidden gem!","A nice little airstrip! great for hiking trips through the surrounding forests and fields, great little restaurant called “Waidenbachhof” in the town which is roughly 45 mins by foot from the airfield. be sure to contact the local council before landing and stay clear off the town on approach"
609108,83279,2758,"EVRA","2026-06-04 14:19:29","I.G.","Nice airport","Nice airport, clean, easy to navigate"
609107,83278,2513,"EHAM","2026-06-04 14:17:07","I.G.","Traffic","Amsterdam Schiphol (almost) Always has a whole ton of traffic and police, that assure that the traffic keeps moving, just so you guys know if you want to travel to schiphol"
609079,83277,609078,"IT-0975","2026-06-02 13:40:57","Pugliapilot","Elisuperfice Cargandino agriturismo","Piazzola"
609077,83276,609076,"IT-0974","2026-06-02 13:35:38","Pugliapilot","Elisuperficie Galliate","Piazzola"
609075,83275,609074,"IT-0973","2026-06-02 13:31:08","Pugliapilot","Elisuperficie di Casaleggio Novara","Piazzola"
609072,83274,609071,"IT-0972","2026-06-02 12:31:56","Pugliapilot","Elisuperficie Ondaland","Piazzola privata del parco divertimenti ondaland"
609070,83273,609069,"IT-0971","2026-06-02 12:26:23","Pugliapilot","Elisuperficie Ladiona","Piazzola"
609068,83272,609067,"IT-0970","2026-06-02 12:19:28","Pugliapilot","Elisusperficie di Stellantis Balocco S.R.L.","Elisuperficie privata Aziendale del centro sperimentale Balocco"
609066,83271,609065,"IT-0969","2026-06-02 12:12:45","Pugliapilot","Elisuperficie di Gattinara","Piazzola Elisoccorso"
609064,83270,609063,"IT-0968","2026-06-02 12:07:19","Pugliapilot","Elisuperificie Tialpi S.R.L.","Piazzola privata aziendale"
609062,83269,20372,"KLRJ","2026-06-02 12:04:06","AlanM70","Very nice small airport","Would have liked to spend some time here.  Maybe go to the Blue Bunny tour.  I did see a vehicle with airport labeling so could have been a courtesy car.  We had to make an unplanned stop here as I had a Sick passenger and she needed to get out for a bit before continuing on.  So, we fueled up and waited until she was ready to go."
609061,83268,20960,"KRRQ","2026-06-02 11:59:19","AlanM70","Nice airport","Did not notice a Curtesy car, but we had a vehicle waiting so did not look around for one.  It was drizzly and rainy also, so we got the plane covered and left."
609025,83267,609024,"IT-0967","2026-05-30 20:22:18","Pugliapilot","Elisuperficie Sky Aviation S.r.l.","Elisuperficie aziendale privata"
609023,83266,609022,"IT-0966","2026-05-30 20:15:26","Pugliapilot","Elisuperficie Miro","Piazzola privata"
609021,83265,609020,"IT-0965","2026-05-30 19:19:17","Pugliapilot","Elisuperficie V.F. di Biella","Piazzola Vigile del Fuoco"
609018,83264,609017,"IT-0964","2026-05-30 19:15:45","Pugliapilot","Elisuperficie Ospedale Infermi","Piazzola Elisoccorso 118"
608974,83263,608973,"IT-0963","2026-05-28 18:14:32","Pugliapilot","Elisuperficie 118 Ivrea","Piazzola Elisoccorso"
608972,83262,608971,"IT-0962","2026-05-28 18:11:16","Pugliapilot","Elisuperficie V.F. di Ivrea","Piazzola Vigili del Fuoco e anche Carbinieri"
608970,83261,608969,"IT-0961","2026-05-28 18:01:06","Pugliapilot","Elisuperficie di Cuorgnè","Piazzola Comunale"
608968,83260,608967,"IT-0960","2026-05-28 17:55:59","Pugliapilot","Elisuperficie di Pemonte","Piazzola Elisoccorso"
608966,83259,608965,"IT-0959","2026-05-28 17:49:56","Pugliapilot","Elisuperficie Pratialto","Piazzola Elisoccorso"
608964,83258,608963,"IT-0958","2026-05-28 17:43:51","Pugliapilot","Elisuperficie Pratiglione","Piazzola Elisoccorso"
608962,83257,608961,"IT-0957","2026-05-28 17:38:18","Pugliapilot","Elisuperficie Pegaso","Piazzola"
608960,83256,608959,"IT-0956","2026-05-28 17:35:13","Pugliapilot","Elisuoerficie di Favria","Piazzola"
608958,83249,319444,"IT-0284","2026-05-28 17:07:03","dibranis","re: Contect","Thank you. Got it over Facebook"
608941,83255,20304,"KL65","2026-05-28 09:21:34","Jet-Pack","Gravel runway","According to ulsportpilotsusa.org/airport-info/ there is a gravel strip on the west side of the airport for airpark operations and a parachute drop zone east of the airport."
608929,82524,3217,"HKWJ","2026-05-27 18:16:13","Ramzi","re: A sight!","Reply to @norkeys: That happens man good to see you"
608914,83254,608913,"IT-0955","2026-05-26 19:19:15","Pugliapilot","Elisuperficie Rivarolo Canavese","Piazzola"
608912,83253,608911,"IT-0954","2026-05-26 19:08:51","Pugliapilot","Base militare esercito Venaria Reale (I","Piazzole"
608910,83252,608909,"IT-0953","2026-05-26 19:01:46","Pugliapilot","Elisuperficie Aziendale Leonardo S.P.A","Piazzola"
608908,83251,608906,"IT-0952","2026-05-26 18:57:43","Pugliapilot","Elisuperificie Caselle","Piazzola Vigili del fuoco"
608907,83250,608906,"IT-0952","2026-05-26 18:56:37","Pugliapilot","Elisuperificie Vigili del fuoco","Piazzola"
608899,83249,319444,"IT-0284","2026-05-26 13:50:13","Pugliapilot","Contect","If you go on Google Maps and type “Pegaso Flight School,” you can find it along with the phone contacts. Also, if you search on Google for “Pegaso Flight School,” you will find the official school website with the contact details. Here on OurAirports I can’t really enter phone numbers."
608897,83248,319444,"IT-0284","2026-05-26 11:19:21","dibranis","Contact for this airport","Hi,

I would like to land on this airport but cannot find the contact of the operator to check and agree on details. Can somenne advise or share the contact please or where can I get it?

Grazie"
608888,83247,608882,"IT-0949","2026-05-25 09:34:22","Pugliapilot","Elisuperficie Filliè","Area Privata Piazzola"
608887,83246,608886,"IT-0951","2026-05-25 09:11:51","Pugliapilot","Base San Maurizio Canavese","Eliporto Base San Maurizio Canavese Vigili del fuoco e Protezione Civile."
608885,83245,608884,"IT-0950","2026-05-25 09:05:05","Pugliapilot","Airgreen Srl - Base di Robassomero privata","Eliporto"
608883,83244,608882,"IT-0949","2026-05-25 08:56:38","Pugliapilot","Elisuperficie Filliè","Piazzola"
